City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
268,berezovyy,51.6667,135.7,17.53,96,100,1.94,RU,1722886096
269,egersund,58.4513,5.9997,17.43,87,100,4.73,NO,1722886097
270,vredendal,-31.6683,18.5012,10.13,68,0,2.13,ZA,1722886098
271,horta,38.5333,-28.6333,25.8,91,20,5.14,PT,1722886088
272,palang,23.2167,90.35,27.05,91,100,2.68,BD,1722886100
273,mamuju,-2.6748,118.8885,25.34,83,80,1.47,ID,1722886102
274,tubarjal,30.4999,38.216,31.17,14,0,6.36,SA,1722886103
275,non sung,15.1801,102.2569,27.88,87,100,2.42,TH,1722886104
276,koulikoro,14.0,-7.75,25.61,80,36,3.47,ML,1722886105
277,la passe,45.5549,-0.8967,23.9,74,0,5.06,FR,1722886096
278,eyl,7.9803,49.8164,24.99,80,98,11.75,SO,1722886107
279,port mathurin,-19.6833,63.4167,22.44,77,14,8.97,MU,1722886108
280,nahrin,36.0649,69.1334,25.86,26,0,0.78,AF,1722886109
281,darnah,32.767,22.6367,27.35,77,0,6.58,LY,1722886110
282,inhambupe,-11.7844,-38.3531,26.85,45,0,6.65,BR,1722886111
283,tacuarembo,-31.7333,-55.9833,22.39,73,62,4.7,UY,1722885970
284,coronel du graty,-27.6804,-60.9146,23.34,54,100,2.64,AR,1722886097
285,ocean city,39.2776,-74.5746,32.88,73,13,2.24,US,1722886115
286,mount gambier,-37.8333,140.7667,6.0,100,100,2.85,AU,1722886116
287,enewetak,11.3474,162.3373,28.64,73,83,2.19,MH,1722886117
288,cotusca,48.1333,26.85,20.34,50,100,2.21,RO,1722886118
289,al bawiti,28.3492,28.8659,30.93,21,3,2.36,EG,1722886119
290,sinnar,13.5691,33.5672,23.88,83,86,6.24,SD,1722886120
291,taco pozo,-25.6167,-63.2833,28.53,34,1,3.77,AR,1722886121
292,dryden,49.7833,-92.7503,21.16,40,20,2.06,CA,1722885883
293,kampene,-3.6,26.6667,24.39,31,100,0.36,CD,1722886123
294,al burayqah,30.4062,19.5739,28.66,66,0,5.64,LY,1722886125
295,karangampel,-6.4622,108.4519,24.51,74,98,3.35,ID,1722886126
296,tham phannara,8.4204,99.3952,23.95,94,100,0.66,TH,1722886127
297,mahalapye,-23.1041,26.8142,16.93,14,5,3.54,BW,1722886128
298,yakeshi,49.2833,120.7333,14.96,80,0,2.05,CN,1722886129
299,tarnogskiy gorodok,60.4997,43.5761,15.06,98,95,2.02,RU,1722886130
300,fort mcmurray,56.7268,-111.381,21.77,52,0,5.14,CA,1722886131
301,saint-joseph,-21.3667,55.6167,18.21,78,7,2.64,RE,1722886132
302,altamont,42.2068,-121.7372,30.78,26,0,0.0,US,1722886133
303,tromso,69.6496,18.957,20.01,56,20,4.12,NO,1722886134
304,suwayr,30.1171,40.3893,32.52,19,0,3.74,SA,1722886136
305,fuxin,42.0156,121.6589,22.26,93,0,1.43,CN,1722886137
306,lamu,-2.2717,40.902,23.86,78,17,6.29,KE,1722886138
307,tazovsky,67.4667,78.7,7.8,70,99,5.96,RU,1722886139
308,mombasa,-4.0547,39.6636,24.23,78,20,2.06,KE,1722886141
309,shanhecun,44.7,127.2,21.71,98,74,3.24,CN,1722886142
310,khandyga,62.6667,135.6,12.56,98,100,2.01,RU,1722886144
311,al mishkhab,31.8042,44.4911,36.06,10,0,4.17,IQ,1722886146
312,egilsstadir,65.2653,-14.3948,9.95,93,75,8.23,IS,1722885963
313,soio,-6.1349,12.3689,21.08,79,28,3.85,AO,1722886149
314,pisco,-13.7,-76.2167,19.03,72,0,4.63,PE,1722886150
315,niquelandia,-14.4739,-48.4597,29.89,20,0,3.66,BR,1722886151
316,kidal,18.4411,1.4078,29.2,57,64,9.46,ML,1722886152
317,arno,60.1167,18.6333,18.21,92,11,2.58,SE,1722886153
318,wang sai phun,16.3885,100.538,24.62,98,100,1.97,TH,1722886154
319,san patricio,28.017,-97.5169,34.53,40,12,2.9,US,1722886155
320,envira,-7.3,-70.2167,30.72,52,100,1.08,BR,1722886157
321,marquard,-28.6645,27.4305,6.46,35,0,1.99,ZA,1722886158
322,medyn',54.9692,35.8586,15.87,82,100,1.63,RU,1722886159
323,zaozersk,69.4005,32.4476,7.93,94,15,2.92,RU,1722886160
324,minas de marcona,-15.2119,-75.1103,15.63,60,0,8.85,PE,1722886162
325,rongelap,11.1635,166.8941,28.3,79,100,7.25,MH,1722886163
326,bunia,1.5667,30.25,17.81,95,96,1.18,CD,1722886164
327,salekhard,66.53,66.6019,6.86,68,76,5.12,RU,1722886165
328,machico,32.7,-16.7667,26.11,77,40,6.17,PT,1722886166
329,dubovka,49.0583,44.829,20.53,78,99,4.11,RU,1722886167
330,rafsanjan,30.4067,55.9939,31.09,21,0,5.3,IR,1722886168
331,cajuru,-21.2753,-47.3042,28.75,23,0,3.11,BR,1722886169
332,east london,-33.0153,27.9116,15.23,51,0,2.51,ZA,1722886171
333,gaiman,-43.2897,-65.4929,12.35,48,100,4.96,AR,1722886004
334,aleg,17.0481,-13.9209,33.29,45,100,3.27,MR,1722886173
335,lahad datu,5.0268,118.327,24.91,89,54,1.47,MY,1722886174
336,severo-yeniseyskiy,60.3725,93.0408,15.14,68,100,1.6,RU,1722886175
337,pyapon,16.2833,95.6833,24.99,91,100,2.08,MM,1722886176
338,noshiro,40.2039,140.0242,20.95,92,50,1.11,JP,1722886177
339,yelizovo,53.1873,158.3805,12.08,100,100,1.0,RU,1722886165
340,tingo maria,-9.2895,-76.0088,29.17,61,75,2.06,PE,1722886179
341,suva,-18.1416,178.4415,15.71,100,20,1.54,FJ,1722886180
342,kermanshah,34.3142,47.065,28.5,15,0,2.06,IR,1722886181
343,flying fish cove,-10.4217,105.6791,24.82,83,100,5.14,CX,1722886183
344,baley,51.6,116.6333,13.51,77,25,2.06,RU,1722886184
345,guiuan,11.0333,125.7247,28.92,75,100,6.2,PH,1722886185
346,cockburn town,21.4612,-71.1419,28.48,82,7,7.78,TC,1722886187
347,acapulco de juarez,16.8634,-99.8901,28.9,70,75,1.54,MX,1722886144
348,yeraliyev,43.2,51.65,32.29,30,0,2.78,KZ,1722886189
349,port saint john's,-31.6229,29.5448,13.92,71,0,2.86,ZA,1722886190
350,anadyr,64.75,177.4833,2.28,93,75,7.0,RU,1722886157
351,kapoeta,4.7717,33.5903,22.17,86,97,0.99,SS,1722886193
352,ain sefra,32.75,-0.5833,34.88,12,100,1.68,DZ,1722886194
353,nuuk,64.1835,-51.7216,11.34,66,75,2.06,GL,1722886089
354,kulebaki,55.4133,42.5325,17.93,74,41,0.71,RU,1722886196
355,kununurra,-15.7667,128.7333,17.99,88,100,2.06,AU,1722886197
356,katsuren-haebaru,26.3369,127.8719,27.01,96,75,4.12,JP,1722886198
357,bredy,52.4153,60.3411,20.08,70,100,2.2,RU,1722886199
358,meadow lake,34.8014,-106.5436,34.41,32,7,5.19,US,1722886200
